['64', '美丽心灵', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg', '导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/艾德·哈...2001 / 美国 / 传记剧情', '9.1', '797262人评价', '爱是一切逻辑和原由。']
['65', '穿条纹睡衣的男孩', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg', '导演:马克·赫尔曼MarkHerman   主演:阿萨·巴特菲尔德AsaButterfield...2008 / 英国美国 / 剧情战争', '9.2', '591223人评价', '尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。']
['66', '窃听风暴', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg', '导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck  &n...2006 / 德国 / 剧情悬疑', '9.2', '586342人评价', '别样人生。']
['67', '情书', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg', '导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...1995 / 日本 / 剧情爱情', '8.9', '1168848人评价', '暗恋的极致。']
['68', '两杆大烟枪', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg', '导演:盖·里奇GuyRitchie   主演:杰森·弗莱明JasonFlemyng/德克斯特...1998 / 英国 / 剧情喜剧犯罪', '9.1', '619323人评价', '4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。']
['69', '西西里的美丽传说', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg', '导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...2000 / 意大利美国 / 剧情战争情色', '8.9', '1013409人评价', '美丽无罪。']
['70', '音乐之声', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg', '导演:罗伯特·怀斯RobertWise   主演:朱莉·安德鲁斯JulieAndrews/克...1965 / 美国 / 剧情传记爱情歌舞', '9.1', '628050人评价', '用音乐化解仇恨，让歌声串起美好。']
['71', '看不见的客人', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg', '导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿...2016 / 西班牙 / 剧情犯罪悬疑惊悚', '8.8', '1326441人评价', '你以为你以为的就是你以为的。']
['72', '哈利·波特与死亡圣器(下)', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg', '导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...2011 / 美国英国 / 奇幻冒险', '9.0', '871383人评价', '10年的完美句点。']
['73', '阿凡达', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg', '导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...2009 / 美国 / 动作科幻冒险', '8.8', '1471690人评价', '绝对意义上的美轮美奂。']
['74', '拯救大兵瑞恩', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg', '导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...1998 / 美国 / 剧情战争', '9.1', '671940人评价', '美利坚精神输出大片No1.']
['75', '飞越疯人院', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg', '导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...1975 / 美国 / 剧情', '9.1', '565749人评价', '自由万岁。']
